Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,model_hyper_params_batch_ratio,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,1,1,7.0,25200,0,4,3,3,1e-09,15,0.25,1.0,1.0,1.0,1.0,1.0,0.9999107903166944,0.492238684991244,0.492238684991244,0.492238684991244,0.492238684991244,0.492238684991244,0.4922101263774142,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,-4.694323746035253e-05,2.6002697173349737e-05,2.8091390071962045e-05,3.039282065810539e-05,3.435892995890648e-05,3.9190760599655764e-05,7.637763053524648e-05,1.0,1.0,0.9999445983379501,0.9996675900277008,0.9790581717451523,0.36265927977839335,0.5238227146814405,0.5238227146814405,0.5237963322067705,0.52371979605409,0.5252376641014034,0.5363580812710051,9.537962050655461e-05,9.537962050655461e-05,9.536551914853012e-05,9.432714517982414e-05,6.146508439811715e-05,3.208631287868363e-05,7.715770617046116e-05,7.472360892344052e-05,7.153919718843638e-05,6.43730638361542e-05,5.5423983679499876e-05,9.601647963450136e-05,30/12/23 13:11:12,-0.5168064372170992,0.21226999984736597,0.42730951173433296,-8.566686269365631,0.29008865015817065,0.46761082402247584,0.572620833749812,0.007732394753597747,0.08483839671534515,,d8c4268b4076397a9cf646b2f7613ab928f3d81926e58af41d479c9dfaba34d9
1,1,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,13.0,900,0,4,4,2,1e-10,15,0.5,1.0,0.05137701106403618,0.026793694607395502,0.01893110049976719,0.01343804139891877,0.006146243287594066,0.7513466466274313,0.9796934049872845,0.9966565595317081,0.9981273408239699,1.0,1.0,0.003984990719342338,0.04461092700439455,0.07051464698899612,0.08841046207972166,0.10723593733673686,0.1507732397944705,0.054096645423354114,0.10885974682479264,0.12175271767667102,0.1355801102604927,0.14729717073850754,0.17721713260575564,1.0,0.9918207681365576,0.3089311115626905,0.010617760617760617,0.004877057508636456,0.0,0.4967994310099573,0.49920606464170464,0.8245354382502877,0.9952153110047847,1.0,0.0,0.0006052494791371275,0.000655716425192766,0.0039970723508557324,0.03841630378222541,0.052675158362684986,0.0,0.0017009480814436497,0.002815358208743834,0.020473463789826705,0.049071872390888054,0.06114131109477357,0.0,30/12/23 13:19:26,-0.003150235059351325,0.00022863450674225273,0.004270198112461836,-0.005054513980520347,0.00022952632983930517,0.004300817018207623,-11.151020345663454,0.0004042800156342888,0.019609587528767288,,acccf0ba43089be64d10dd4aa9a472cf258bdadfdaa70eb00627e0ef89ab30fe
2,2,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,0.3,25200,0,1,5,1,1e-11,15,1.0,1.0,0.05915039232822126,0.028055409732110514,0.018984952720073316,0.013546828631999283,0.006161973171582643,0.7504871783149201,0.9760725959486933,0.9981295257448537,1.0,1.0,1.0,0.004051347656981929,0.041333225379684355,0.06842467863841445,0.08846260591355519,0.1067599532035413,0.15073015964249142,0.05172627044481435,0.10668356426820089,0.12124281836909123,0.13541407284113205,0.14720993681686445,0.1775698753542029,1.0,0.9951737451737451,0.884474700264174,0.012954684007315587,0.005486689697216013,0.0,0.49629140418614104,0.4971667772729593,0.5481332567489948,0.9921568627450981,1.0,0.0,0.0005836789016555909,0.00060216719811672,0.0010856277369737275,0.03396151482662565,0.05005815280908946,0.0,0.0014729945131861874,0.0021837930078086633,0.007639878013275184,0.04588772474247386,0.056986763829354,0.0,30/12/23 13:27:33,-0.0020029633707140614,0.00022841783946934584,0.004246970273741141,-0.0020124632182306756,0.00022851391211563447,0.004264706444767557,-14.637352573567146,0.0005202747557884558,0.02238295734889277,,cd471a9f401df905b6527a9381187b792cea641f6eca1341b3e613a2dfc9770c
3,3,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,2.0,180,0,4,1,0,1e-09,15,0.25,1.0,0.04865586687788507,0.026395693932083696,0.018721306582239503,0.013414619811732318,0.006138360486255869,0.7280471554276363,0.9835978411266785,0.998897927926928,1.0,1.0,1.0,0.003984843962281212,0.046809401114538074,0.07115237603530153,0.08908408116074577,0.10734959112419964,0.15097574771966454,0.0548533957096141,0.1095361122122906,0.12196234345404147,0.1355583885230663,0.14716471411185633,0.17660916232548782,1.0,0.32010770168664904,0.01798414956309693,0.008382442592968909,0.0031497663076610447,0.0,0.5015748831538305,0.8212982066338677,0.9943502824858758,1.0,1.0,0.0,0.0007388078841532037,0.004164852004589848,0.03272392118823237,0.046268518110686316,0.0642814583588524,0.0,0.003259643135905326,0.024829559433205313,0.04929642413631124,0.06336807494145617,0.07791021988231188,0.0,30/12/23 13:34:18,-0.006944490723639474,0.00022957943078946098,0.0043898900937722985,-0.007525229683906209,0.00022943939272254392,0.0043921727660189026,-2.672512175103315,0.00012218918554422168,0.009937639044691306,,59553777a67d1bfd1733995c4d20942e5b8af236127fddaac47e724aa350db98
4,4,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,1,1,7.0,900,1,1,4,0,1e-09,25,0.5,1.0,0.06499192376836979,0.012933575958982401,0.0013991857400625113,0.0005371428270366412,3.406266339981474e-05,0.5241124399992221,0.5319507773739853,0.5205352541468053,0.36959921798631473,0.375,0.3333333333333333,5.021345216568071e-05,0.0008226124258588601,0.001584855271004828,0.0005059748482831168,0.00395437153630612,0.036379432181460176,0.0004305999038527776,0.0033980871538504473,0.006410859000136023,0.009751262167225157,0.019636901958034306,0.03752844299972345,1.0,0.013430363270618861,0.0014199503017394391,0.00029582297952904983,0.0,0.0,0.5135486924624305,0.5594713656387665,0.5,0.4,0.0,0.0,2.4527461752538045e-05,0.00031714157981485716,-0.0022424941335885177,0.00019192714010056732,0.0,0.0,3.208840812561733e-05,-0.0005555409344354759,-0.00017076512686991068,0.0034437384826077233,0.0,0.0,30/12/23 13:43:15,0.9979615869223185,0.0002728172399580233,0.006254071824355958,0.9869179509901711,0.00027581152328422085,0.0061266532015839354,0.9970883065410576,5.272177118321582e-05,0.004124302416369364,,4faa9f86a1cc3c5df785ed45046b887e36e9944fb2c618a65c3431b129f44d49
5,5,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,3.0,180,1,2,5,0,1e-06,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,0.3,7200,0,1,1,1,1e-06,25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,1,1,1.0,25200,1,4,3,1,1e-08,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,0.3,25200,0,4,0,2,1e-10,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,no_topics_steps_5_removal_1e+00parallel_run_4_4.csv,5,2,1,7.0,7200,0,4,3,1,1e-07,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
