Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,model_hyper_params_batch_ratio,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,1,25,7.0,25200,0,4,3,3,1e-09,15,0.25,1.0,0.010767918886865143,0.00103684609893901,0.0001678978226354051,5.5656920445192664e-05,8.109971209602205e-06,0.5201106877275493,0.5986978090094889,0.5555971896955504,0.30666666666666664,0.52,0.2,1.8159306303545096e-05,0.0021197857044093034,0.004556623390110739,0.006557839230314796,0.03784571693747844,0.03570490765171504,0.0004029214819395598,0.007425150594347269,0.0163089754533195,0.027692266553122714,0.03924620637022289,0.03570490765171504,1.0,1.0,0.9976177285318559,0.9916897506925207,0.9509695290858726,0.24038781163434902,0.5238227146814405,0.5238227146814405,0.5234630976842339,0.524413407821229,0.5253131371977862,0.5402166397787509,9.537962050655461e-05,9.537962050655461e-05,9.492175244611287e-05,0.00010447302234621742,6.71887511093175e-05,8.820814898351131e-05,9.561068046164474e-05,9.56426386139995e-05,9.567805456327038e-05,9.383105954916623e-05,8.942610583993317e-05,0.00020213783696337837,30/12/23 01:28:43,0.9981922195030751,0.00024074355514041302,0.005146209849415277,0.9885475339068817,0.00023820148991659943,0.00492832878467094,0.6016550129668903,0.007207091339716014,0.08229557279500067,,9a5a52b6dae66dab7a66eb3224d9a722d085c7e386cf66048330f64e2ede325a
1,1,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,17,13.0,900,0,4,4,2,1e-10,15,0.5,1.0,0.056038045320742046,0.02774903970438059,0.01896946398728258,0.01353100945780949,0.006207883494539823,0.7455269697352301,0.9786937754787524,0.998420854814562,1.0,1.0,1.0,0.004039431856800258,0.04323608718540553,0.06888640754716249,0.08847925657231108,0.10685014649535378,0.15039507746893852,0.05291459611427435,0.10733116328229042,0.12120053977582942,0.13513487154107268,0.14677327645950897,0.17616242296169182,1.0,0.991769965454176,0.5220483641536273,0.011583011583011582,0.005080268238162975,0.0,0.4965962202804308,0.4992828603626678,0.6665044764499806,0.9912280701754386,1.0,0.0,0.0005965197810491102,0.000654725360663047,0.0022208682835954496,0.036375099820211504,0.051740043343019876,0.0,0.0016523182745975659,0.0026508314955326004,0.013863147958838647,0.04845237852280487,0.06142377237325465,0.0,30/12/23 02:47:34,-0.00163985550946939,0.0002283779962411164,0.004268816754060674,-0.002943694686250575,0.0002283015618364441,0.004262553026622604,-12.100081585590855,0.00043585649909007367,0.020350549936008364,,db0c939fb55206c766ed3226aedb09ef5c615256147e13a0d414490a959b6fcd
2,2,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,13,0.3,25200,0,1,5,1,1e-11,15,1.0,1.0,0.05028036604495989,0.02655141773158412,0.0188070021597162,0.01350795394461253,0.006161734240201704,0.7375312257795489,0.9823976531300301,0.998103438116843,1.0,1.0,1.0,0.004041167436670429,0.0456178649012718,0.0709129893553827,0.0888502652669406,0.10692435186322258,0.15068657236500177,0.054352636239160826,0.10919214114165557,0.12190756444114084,0.13551603163744091,0.14719987113881072,0.17727347308874947,1.0,0.9951229424913636,0.8817821580979476,0.012649867913025808,0.005486689697216013,0.0,0.49613899613899615,0.49719215846436593,0.550037448867892,0.9919678714859438,1.0,0.0,0.0005753618636572326,0.000601368110584146,0.0011007837144123263,0.03447716830116815,0.05005225572863808,0.0,0.0014742191566568033,0.0021907401576003655,0.007855542004340639,0.046114853729996,0.05720710951815516,0.0,30/12/23 05:12:39,-0.004681729968249693,0.00022902924007801428,0.004332264298918327,-0.0045114037742005845,0.0002291173278192859,0.0043466470500522405,-14.523106467989274,0.0005164736414758078,0.02229799950448274,,4c0f2f144adff736c65864d7a4247e3608e96a5d34f46aff7d4734ef5a885853
3,3,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,17,2.0,180,0,4,1,0,1e-09,15,0.25,1.0,0.050265054968690825,0.026698044183173692,0.018830036070475016,0.013376038995274134,0.006153871024993205,0.7228967114926299,0.9818910209142235,0.9989150679828646,1.0,1.0,1.0,0.004004552384403175,0.045915061898943406,0.07066424024082713,0.0888161134290109,0.1075026691993806,0.15085293955106197,0.05418936144635621,0.10915560820579868,0.12191678687578067,0.13564804031905056,0.14731075247608058,0.17700862963914815,1.0,0.9599166836008941,0.027077829709408658,0.009398496240601503,0.0035561877667140826,0.0,0.49817110343426135,0.5145276528182059,0.9906191369606003,1.0,1.0,0.0,0.0006517784245336827,0.0008766500777163034,0.024209895966240378,0.0430513489746806,0.05939155691945845,0.0,0.002295659882707904,0.006014149257005945,0.04319708325025,0.05690313308499568,0.0716544610274511,0.0,30/12/23 06:30:25,-0.0064796792692821455,0.00022945747829558532,0.004419554239373173,-0.006333955275735681,0.00022925484221718778,0.004403499997654596,-5.654420983772719,0.00022140111223802622,0.014132861823360345,,78084e341f2b866a2431e2133d83eda6fd199b475f3d76aea5a6b584b37d2e30
4,4,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,1,25,7.0,900,1,1,4,0,1e-09,25,0.5,1.0,0.05004818472888436,0.011740516144753282,0.0018701158682479777,0.0004522354808438817,2.5608506067946788e-05,0.5209027608065943,0.5515555774169715,0.5120952036852697,0.518546365914787,0.3636243386243386,0.4,0.00029599697406890635,0.0011831099604890283,0.002083977194182439,0.003673916707589043,0.0065611532277932315,0.03746771144852321,0.000742095431534664,0.0045060027968347825,0.008775019928979298,0.018453716369018186,0.03538945867489878,0.03779149058974636,1.0,0.01792687255946042,0.0016566086853626789,0.0003549875754348598,5.9164595905809965e-05,0.0,0.5010057981303988,0.6237623762376238,0.5714285714285714,0.3333333333333333,1.0,0.0,-2.1520032140974514e-05,0.0008694891843844323,-0.0009531864867928826,-0.000261900894870067,0.009587123862841107,0.0,-5.893008339314723e-06,0.0004371618576023391,0.00011189425574753392,0.002520076185291195,0.009587123862841107,0.0,30/12/23 09:34:39,0.9979567249588598,0.00027262691864119424,0.006137663627745512,0.9870449383332188,0.00026944552233613864,0.005934947953045801,0.9968316515649575,5.7368999716641715e-05,0.004506757162809807,,1a3a4509efc3116427a96687c0d6beace2fb8ea1d73c0d26c4aeda5d6c863c79
5,5,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,13,3.0,180,1,2,5,0,1e-06,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,9,0.3,7200,0,1,1,1,1e-06,25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,1,9,1.0,25200,1,4,3,1,1e-08,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,13,0.3,25200,0,4,0,2,1e-10,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,multi_topic_steps_5_removal_1e+00parallel_run_3_3.csv,5,2,9,7.0,7200,0,4,3,1,1e-07,40,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
