Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,1,1,7.0,25200,0,4,3,3,1e-11,15,1.0,1.0,1.0,0.9977370732286268,0.9789611108913242,0.8011868497052657,0.48492729415344166,0.48492729415344166,0.48492729415344166,0.4849790261923335,0.4864891186805235,0.5207332310394117,-0.00013460978419244533,-0.00013460978419244533,-0.00013460978419244533,-8.82359819300811e-05,1.5347711833917976e-05,0.0007662341185032293,0.00023136664698739958,0.00026081839477167434,0.0003001680456854787,0.00039248312924424107,0.0005564805366033471,0.0012972635891271022,1.0,1.0,1.0,1.0,1.0,1.0,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00023230336033066285,0.0002293693377229932,0.0002260332626335953,0.0002200738182295425,0.00021257250310888779,0.0001629247495285111,03/01/24 01:06:34,-0.6150119871138149,0.19498428812980392,0.35991839212759963,-7.893384669942208,0.13962941633015308,0.33663045709897854,-0.5569155188216133,0.028163675562390505,0.1656761188614042,,aa24fe43128d8382a293cd5251ef438366122d4bc00d76d3aa2e04787ae630cf
1,1,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,13.0,900,0,4,4,2,1e-10,15,1.0,0.18176931340341054,0.09409732904036276,0.0589900719007995,0.04085362806287647,0.01885643629252412,0.7394301057488123,0.9632810946725593,0.991439580431239,0.9991131789685148,1.0,1.0,0.00925806571291336,0.041127852504910314,0.0642102376055871,0.08697391049605159,0.10684465603957097,0.1495497742909972,0.06715018687417604,0.10363330421747326,0.11919383688100224,0.1343596398955576,0.1461894592767441,0.17501059253421455,1.0,0.08955979940225926,0.043260219847018895,0.020465022035357886,0.008358239197609037,0.0,0.7237728585178056,0.9875565610859729,0.9988290398126464,1.0,1.0,0.0,0.00436099260782106,0.02631775420635101,0.039345437761766223,0.05253921055963598,0.06891217220809695,0.0,0.02159326921009875,0.04602269990285403,0.055344018412063656,0.06879053156065729,0.07994807994176693,0.0,03/01/24 01:13:21,-0.008462845411505349,0.000693408561372084,0.010053045693888285,-0.007543655231298363,0.0006932532617629562,0.009999159662352495,-0.022163669348546744,0.00010333333706116887,0.004877821203388175,,1e3c7020d2af2aa6b863c4a8b91aeb99cd3beb16d35a273b3890ef20a94a4fd0
2,2,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,0.3,25200,0,1,5,1,1e-09,15,1.0,0.17093835420443576,0.089628614718334,0.05813731553958179,0.04027412323819679,0.018655379731336443,0.7565473282337064,0.9693593726047828,0.9946987486289179,0.9997552019583843,1.0,1.0,0.009463840481537594,0.042220136846361556,0.06631903280590577,0.08776646243957317,0.1076663327051918,0.15016727738829935,0.06888077092136129,0.1056465165511908,0.12043157819942611,0.13512872331258446,0.1468125787859091,0.17564309041655027,1.0,0.08454485588369383,0.042956283876196745,0.021174205967276226,0.00851020718302011,0.0,0.7387670330783648,0.9904134212103056,1.0,1.0,1.0,0.0,0.00459640535856666,0.027454623722251475,0.039605028787725746,0.05214979606722671,0.06825503776866594,0.0,0.022787166831498076,0.04678670223172999,0.05545788183204654,0.06832253077655374,0.07992568029629281,0.0,03/01/24 01:20:17,-0.0031462944813678284,0.0006898975411212002,0.009802090699237908,-0.003685870781216183,0.0006901067890576771,0.009786702583253893,-0.009088050690875926,0.00010201148680317885,0.004730473188022334,,a5711a6aa434fc73c65971d24332cc27a54784eaca2a2af468bf13dbb0566b7f
3,3,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,2.0,180,0,4,1,0,1e-08,15,1.0,0.15167607146692297,0.08465694501088095,0.05698450171874464,0.040528872693932974,0.01894924702875622,0.7238449797514048,0.9739140495335212,0.9963860603167106,0.9997565429093122,1.0,1.0,0.009152391209470015,0.04565634413087042,0.06854272153160884,0.08862002627050206,0.10716311897228244,0.14914607278741954,0.07072624242600882,0.10771665693731916,0.12101468142017206,0.1347668856557545,0.1462234821678217,0.1748665786485722,1.0,0.07998581632136163,0.04214578795400436,0.021022237981865154,0.00861151917329416,0.00020262398054809788,0.7214426827415025,0.9917669411019633,1.0,1.0,1.0,1.0,0.004533057863198229,0.028195619254764697,0.039897657015668546,0.05192463405899498,0.06814002320750456,0.09606740712865902,0.022844680355163093,0.04729030704408644,0.05571572269013886,0.068459436569731,0.07991735237528702,0.09526217895181828,03/01/24 01:27:23,-0.012042802479109715,0.0006960469551952309,0.010191622928192118,-0.012880672775838774,0.000695993925487974,0.010184806741585294,-0.02724613584931479,0.00010384713758037603,0.0049244457745670185,,ae0b7018759402e443074256813ce261b2cd724e53e020091f81cc7a5beda675
4,4,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,1,1,7.0,900,1,1,4,0,1e-07,25,1.0,0.0284730979072834,0.0043649695872227945,0.0003118724087611394,7.594194676124142e-05,8.528057308545113e-06,0.5268099322589533,0.6920021330847484,0.5496257146825633,0.4988888888888889,0.55,0.2,0.0006818360138333382,0.00814590225681817,0.010899150987798529,0.014509709980923121,0.03302609067184264,0.035388284960422164,0.0025217214435733497,0.014621002503224229,0.025618182916091158,0.03271266081394174,0.03268247068121684,0.035388284960422164,1.0,0.00479840833284569,0.0007022060974896132,0.0,0.0,0.0,0.5278249166130259,0.5853658536585366,0.6666666666666666,0.0,0.0,0.0,0.0005509375205021319,0.0021921533648514447,0.0035946706349983815,0.0,0.0,0.0,0.001346201900946577,0.0020758211417057832,0.0052305925901197006,0.0,0.0,0.0,03/01/24 01:35:31,0.9942536612142975,0.0007626091844004475,0.011377794325919085,0.9640516266974888,0.0007491349282086172,0.010719285342014492,0.9935564139935189,0.00011663972165292182,0.005239614801580165,,42ed937463c6ffad41bd126381ce9cc85279336c32e143f2725a1a08e750cab0
5,5,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,3.0,180,1,2,5,0,1e-11,40,1.0,0.18511190369642186,0.1053359956358978,0.069352639675591,0.04882481398811086,0.022555625569533614,0.7529423405170187,0.9639705225729625,0.9936529549226029,0.9995223870887298,1.0,1.0,0.01032626794166822,0.04569972448559289,0.06751842628566518,0.08840423406487521,0.10745206967265782,0.14938694969943214,0.07424664727665913,0.10687821599150513,0.1206496353994635,0.13493364996045504,0.14643094544266447,0.17513640360795382,1.0,0.09756982227058397,0.05126345061056704,0.024724942570426792,0.010337323177366704,0.0,0.7523274090194656,0.9876084262701363,1.0,1.0,1.0,0.0,0.00475308728238657,0.02772090756899028,0.03931697610660764,0.05220411382078008,0.06781676581120419,0.0,0.023622242357826062,0.04636734590125538,0.05475354367675133,0.06707554209530775,0.07637201972236023,0.0,03/01/24 04:27:00,-0.005612473948439334,0.0008238248340130698,0.010930277508380926,-0.005649842553106766,0.0008230160237052695,0.010920044597307537,-0.01392740800598391,0.00011844652744973761,0.005077845887454112,,a7739ffc1cdc6e9d27eb152de0a21f94d29ba8d101d09ae61db1aa8ff7b2f31b
6,6,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,0.3,7200,0,1,1,1,1e-10,25,1.0,0.15221290384480163,0.08723827256235495,0.06062942830155919,0.0434784984980789,0.020175516733678952,0.7462308760426747,0.975078527781806,0.9968574702826828,1.0,1.0,1.0,0.009778205743679148,0.047829956366218465,0.07066727663340422,0.0892296212690632,0.10749541116926153,0.14982829738001868,0.07435692438027715,0.10926366905390839,0.12181596946195783,0.1353868655861855,0.1468334321788467,0.17498659205274608,1.0,0.14354585342072476,0.055522452738204865,0.02275066356102053,0.01050863983532853,0.00021667298629543362,0.7003412599534153,0.9577358490566038,0.9951219512195122,1.0,1.0,1.0,0.004152253799824974,0.019582676976795856,0.0350226011603844,0.05016685774208483,0.06444565057493702,0.08475037794178131,0.0185217863433914,0.03961384662382008,0.05122732681335381,0.06414197555997678,0.07468686875376558,0.08375521812710227,03/01/24 06:03:28,-0.007973131447910032,0.0007417328313201862,0.010437403781541791,-0.008869286046718283,0.0007419938685616296,0.010457691791245937,-0.11550311996246365,0.00011985184812144638,0.00574562489530148,,ecfd9b04f5ef7bc1b34c6e3f10aac52e2166d1a066c8b0e9261c1723bfc92530
7,7,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,1,1,1.0,25200,1,4,3,1,1e-09,40,1.0,0.047858216501262006,0.0068543222096289335,0.0011213576419889823,0.00042335316620596133,1.8945139384760995e-05,0.53541499446111,0.6890960548574465,0.6308930438114195,0.5510917634051962,0.583116883116883,0.4,0.001046111649527706,0.008035476709589972,0.012754434384359841,0.013158266227565787,0.04241659650306588,0.035576039210969766,0.0030670207852210784,0.01279243495964157,0.017667017012947893,0.03204344367521242,0.03799100977215986,0.035576039210969766,1.0,1.0,1.0,1.0,1.0,0.9984334203655353,0.5460182767624021,0.5460182767624021,0.5460182767624021,0.5460182767624021,0.5460182767624021,0.5466134937238494,0.0003339220012635718,0.0003339220012635718,0.0003339220012635718,0.0003339220012635718,0.0003339220012635718,0.0003477572624494144,0.00026678598313050275,0.0002621048273100231,0.0002567219416640559,0.0002469429831897369,0.0002343272858533559,0.00014011825325196606,03/01/24 07:59:48,0.993641266806125,0.0008484958810989169,0.011682304464113585,0.959507030859195,0.0008446257905217105,0.011752626778887968,-0.3690183448020381,0.024810293630652097,0.15312318435644992,,2562d67a54c44db4831b11ed610a6d7dc630fdd9312c5e5f9a35c07662cd5fbe
8,8,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,0.3,25200,0,4,0,2,1e-08,20,1.0,0.15190501797666484,0.08537694688598106,0.05869302346107956,0.04208981892469392,0.01949195173753941,0.744360286677644,0.975712701671202,0.997424799403254,0.9997552019583843,1.0,1.0,0.009666562099617857,0.04689702386014079,0.0698560416702624,0.08893804501135331,0.1071680669484905,0.14983441225246855,0.07306964996796773,0.10851941864835848,0.12151929347398002,0.1351657490420861,0.1466500782122626,0.17509637122448785,1.0,0.09114706036333177,0.044395581383173656,0.02167425789225695,0.008742997748808963,5.23532799329878e-05,0.7254070467514789,0.9862148190695003,0.9988207547169812,1.0,1.0,1.0,0.004494220184099228,0.026496468224981327,0.03947671815852032,0.05200392109342573,0.06874172279904447,0.08830642108253128,0.021861846301540665,0.04599823837574879,0.05510252998826106,0.0679760876133302,0.07883420292872095,0.08830642108253128,03/01/24 09:05:35,-0.009056906783538921,0.0007175508611540838,0.010237931889165004,-0.008615784928519155,0.0007165967588462276,0.010229989426289204,-0.018521246282354964,0.00010615034227233094,0.004957205832625337,,f419384ee6ee1d50549d863c55111438ff56b9453cd676e11955c2fa24e69cd3
9,9,no_sentiment_steps_15_removal_1e+00parallel_run_7_2.csv,15,2,1,7.0,7200,0,4,3,1,1e-07,40,1.0,0.18827257724101484,0.10641915343673929,0.06960422372973708,0.0489353962655586,0.022618422524572558,0.7640966909816529,0.9675018553055,0.9942726155251058,0.9996594778660614,1.0,1.0,0.010526112018625484,0.04489577005768836,0.06717728668523507,0.08830113285085991,0.10734660874847526,0.14939928922137702,0.07361684321673806,0.10638995592639247,0.12029544085714802,0.1345950247439554,0.14608281618850735,0.17515175293986568,1.0,0.11709587716116551,0.053077016080280495,0.02623624712852134,0.010639584088985613,0.00012090436464756378,0.7373352678031677,0.9845121321631388,1.0,1.0,1.0,1.0,0.0045129372408527525,0.024696161421488536,0.03880834845000675,0.051309453619176174,0.06767157662811175,0.08543901589522096,0.021934299989126903,0.044914054280896294,0.05441129824009065,0.0662303964591381,0.0766023585745294,0.0859041205075015,03/01/24 09:22:12,-0.0028831874336432417,0.0008214060702125889,0.010789995750361122,-0.002415277759994483,0.0008199852668778309,0.010782388425816133,-0.023783573042701622,0.00011959792005768241,0.005201459863526069,,fa6fa9517ea8938be78f59a06ce14ce8c12126375543dac82afd502dd6006dba
