Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,model_hyper_params_batch_ratio,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,1,1,7.0,25200,0,4,3,3,1e-09,15,0.25,1.0,0.018222587082250025,0.002036963610845586,0.00039762919357826457,0.00015884450593150012,1.6026687355744783e-05,0.5248405094693728,0.5714677223439513,0.6027800934697487,0.32280701754385965,0.5,0.4,4.775648841368021e-05,0.0018840506397293944,0.004895511042103479,0.004070538252891281,0.0338608304065107,0.037895373908103915,0.0004185636969143553,0.008191031566229082,0.015611728191972438,0.028091932993096203,0.034488687612419,0.037895373908103915,1.0,1.0,0.9999445983379501,0.9996675900277008,0.9790581717451523,0.36265927977839335,0.5238227146814405,0.5238227146814405,0.5237963322067705,0.52371979605409,0.5252376641014034,0.5363580812710051,9.537962050655461e-05,9.537962050655461e-05,9.536551914853012e-05,9.432714517982414e-05,6.146508439811715e-05,3.208631287868363e-05,7.715773097609403e-05,7.472363702416106e-05,7.153922962203381e-05,6.437310675727457e-05,5.542404763371476e-05,9.601703080714786e-05,30/12/23 01:32:39,0.998191812893235,0.0002415819316350754,0.005309320074719448,0.9883850295320465,0.00024184994778391524,0.005073135833130736,0.5726208396433848,0.007732394646967768,0.08483839620535198,,84e02975e2c6251519284ca5f9bdf7876ed9cac27b78520088c3bd83a18d9ca3
1,1,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,13.0,900,0,4,4,2,1e-10,15,0.5,1.0,0.053278428231198084,0.027124018998787015,0.018899836817129423,0.013523405832104873,0.006200217646607562,0.7424002167359168,0.9808339895202032,0.9988877917159378,1.0,1.0,1.0,0.004034004503259009,0.04432954061681777,0.06993759824561466,0.08863544283091455,0.10694287111752972,0.15051824262665484,0.05378342382686942,0.10827613542862531,0.12155587178704133,0.13534824336042828,0.14698079960437654,0.17670341408471876,1.0,0.9918207681365576,0.3089311115626905,0.010617760617760617,0.004877057508636456,0.0,0.4967994310099573,0.49920606464170464,0.8245354382502877,0.9952153110047847,1.0,0.0,0.0006052494791371275,0.000655716425192766,0.0039970723508557324,0.03841630378222541,0.052675158362684986,0.0,0.0017009480769350801,0.0028153581999350264,0.020473463664892343,0.0490718723254471,0.06114131089763823,0.0,30/12/23 03:22:14,-0.003433390188388863,0.00022879702735863314,0.004310016261555587,-0.004229853755114777,0.00022860964122473347,0.004308584997720602,-11.15102035723224,0.0004042800160191971,0.019609587537524037,,c3c5840481c4b795e25eb2a64125adaa6bcd39cacf179af968e4362a73167662
2,2,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,0.3,25200,0,1,5,1,1e-11,15,1.0,1.0,0.051534009840499516,0.02686956072255297,0.018822314800314162,0.013453347887791891,0.006161904008641235,0.7387659307519702,0.981121485830651,0.9983541729117549,1.0,1.0,1.0,0.004002554727135686,0.04500409318179861,0.07037250090882782,0.08884941006735503,0.10723369633509876,0.1508529466120963,0.05411229626748816,0.10880009301457458,0.12170260325378217,0.13543696317201362,0.1470600419126758,0.17649447876623403,1.0,0.9951737451737451,0.884474700264174,0.012954684007315587,0.005486689697216013,0.0,0.49629140418614104,0.4971667772729593,0.5481332567489948,0.9921568627450981,1.0,0.0,0.0005836789016555909,0.00060216719811672,0.0010856277369737275,0.03396151482662565,0.05005815280908946,0.0,0.0014729945154928308,0.002183793012823223,0.007639878045713117,0.04588772483743459,0.05698676392018579,0.0,30/12/23 05:39:12,-0.003664160949752082,0.0002288331426452956,0.004322621167079026,-0.004869233851412335,0.00022881374566332857,0.00432393145896596,-14.63735256434745,0.0005202747554817048,0.022382957344184842,,5974f9642a60a76a58d33365f8597149cbda9710c62f160763fa27c8c1c08f2c
3,3,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,2.0,180,0,4,1,0,1e-09,15,0.25,1.0,0.04865586687788507,0.026395693932083696,0.018721306582239503,0.013414619811732318,0.006138360486255869,0.7280471554276363,0.9835978411266785,0.998897927926928,1.0,1.0,1.0,0.003984843962281212,0.046809401114538074,0.07115237603530153,0.08908408116074577,0.10734959112419964,0.15097574771966454,0.0548533957096141,0.1095361122122906,0.12196234345404147,0.1355583885230663,0.14716471411185633,0.17660916232548782,1.0,0.32010770168664904,0.01798414956309693,0.008382442592968909,0.0031497663076610447,0.0,0.5015748831538305,0.8212982066338677,0.9943502824858758,1.0,1.0,0.0,0.0007388078841532037,0.004164852004589848,0.03272392118823237,0.046268518110686316,0.0642814583588524,0.0,0.003259643140557137,0.024829559529804774,0.0492964242084144,0.0633680748769253,0.0779102199111004,0.0,30/12/23 07:15:49,-0.006944490723639474,0.00022957943078946098,0.0043898900937722985,-0.007525229683906209,0.00022943939272254392,0.0043921727660189026,-2.6725121729520063,0.00012218918547264487,0.009937639042266721,,afcaeaf21551a1fd63370a6f59a520621d50e272241dbfc2745605f3bad85685
4,4,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,1,1,7.0,900,1,1,4,0,1e-09,25,0.5,1.0,0.06499192376836979,0.012933575958982401,0.0013991857400625113,0.0005371428270366412,3.406266339981474e-05,0.5241124399992221,0.5319507773739853,0.5205352541468053,0.36959921798631473,0.375,0.3333333333333333,5.021345216568071e-05,0.0008226124258588601,0.001584855271004828,0.0005059748482831168,0.00395437153630612,0.036379432181460176,0.0004305999038527776,0.0033980871538504473,0.006410859000136023,0.009751262167225157,0.019636901958034306,0.03752844299972345,1.0,0.013430363270618861,0.0014199503017394391,0.00029582297952904983,0.0,0.0,0.5135486924624305,0.5594713656387665,0.5,0.4,0.0,0.0,2.4527461752538045e-05,0.00031714157981485716,-0.0022424941335885177,0.00019192714010056732,0.0,0.0,3.2087572167348344e-05,-0.0005555472863574445,-0.00017076631015615888,0.00344376194160225,0.0,0.0,30/12/23 10:11:55,0.9979615869223185,0.0002728172399580233,0.006254071824355958,0.9869179509901711,0.00027581152328422085,0.0061266532015839354,0.9970883062924831,5.272177568413033e-05,0.004124302764833657,,31a8aef3f16d7387b5490214b1a8962cd424083e61d10480aa0ef9a2966a62bd
5,5,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,3.0,180,1,2,5,0,1e-06,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,0.3,7200,0,1,1,1,1e-06,25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,1,1,1.0,25200,1,4,3,1,1e-08,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,0.3,25200,0,4,0,2,1e-10,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,no_topics_steps_5_removal_1e+00parallel_run_3_4.csv,5,2,1,7.0,7200,0,4,3,1,1e-07,40,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
