Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,1,25,7.0,25200,0,4,3,3,1e-11,15,1.0,0.9991626071903056,0.9942670799951688,0.8909698458069972,0.8074479648939168,0.8,0.4922628405530622,0.4923205013976948,0.4925865616580067,0.4937742800118117,0.495555221867103,0.3939336002454813,-4.590209652154404e-05,-4.5553153662442175e-05,-3.9636054146279526e-05,-6.058444782936887e-05,-0.00022583730790992932,-3.1946134543833616e-05,1.006393568514864e-05,9.65157994093778e-06,4.478824473791707e-06,-6.809531096844056e-05,-7.95618898870034e-05,5.5833062550129476e-05,1.0,1.0,1.0,0.9925207756232687,0.9922991689750692,0.9221052631578948,0.5238227146814405,0.5238227146814405,0.5238227146814405,0.5245325146525258,0.5245379934118698,0.5237322758952175,9.537962050655461e-05,9.537962050655461e-05,9.537962050655461e-05,0.00010388333836170177,0.00010476672208997692,7.966997704610888e-05,0.00011205968967922793,0.00011337472156561055,0.00011491485005670255,0.00011687122887406419,0.00011911583365815714,0.0001377147068344219,03/01/24 01:06:53,-0.9048123118121734,0.2115790167715595,0.3608589327664647,-9.021447021916616,0.11422522401484629,0.3000068220464036,-0.07891105825619027,0.019520292202486578,0.13683755104034942,,b47f8296d88ffbe0148aa6b1f76a081df254628c795f6d6cbe33b5ccafcb49ac
1,1,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,17,13.0,900,0,4,4,2,1e-10,15,1.0,0.06818744139157713,0.02887230645363169,0.018945653154382715,0.013670441510033451,0.00627808242931828,0.6748907283086278,0.9668775696621849,0.9975354946606103,1.0,1.0,1.0,0.0036158501457395804,0.03675874108445102,0.06683874465865547,0.08836181545708754,0.10619751980659228,0.14987015402825488,0.04420349832719754,0.10486211347790833,0.12080645004023807,0.13496849830197707,0.146820672283536,0.17729346475844318,1.0,0.026823816297500507,0.013970737654948181,0.0065535460272302375,0.0027433448486080063,0.0,0.7404490957122536,0.990530303030303,1.0,1.0,1.0,0.0,0.0021083201297103196,0.026748459670047218,0.03930557269897857,0.052889152893095766,0.06957572781179099,0.0,0.015095648439388584,0.04685477148783446,0.05600565658944972,0.07042443237884735,0.08166596281050878,0.0,03/01/24 01:13:30,-0.02491750621438138,0.0002337072975599135,0.004948963535213342,-0.03211937625139436,0.0002341068150158951,0.004962096608108296,-0.011910171512071521,3.36675479360379e-05,0.0022483766124306824,,43aa7ed4439dfbd5b28fa43a6dc8940578069eba4965018fc66aa60881a6782c
2,2,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,13,0.3,25200,0,1,5,1,1e-09,15,1.0,0.09233464614010145,0.03307655275934138,0.020008983096445297,0.013742430457440249,0.006263215006484496,0.695212823269763,0.92040358543548,0.961770416397424,0.9829885749988844,1.0,1.0,0.0038053899646270247,0.034190987147194464,0.06153496735535091,0.08465817629565316,0.10573756138634169,0.14987271050865045,0.04415699534489302,0.0990232570163595,0.11798867205630428,0.13411495974231508,0.14626626880350288,0.1771302228032779,1.0,0.2980085348506401,0.025909368014631173,0.011074984759195286,0.002641739483844747,0.0003048160942897785,0.5863645600487706,0.6155813160586431,0.8352941176470589,0.8348623853211009,1.0,1.0,0.0012848556224852275,0.003117996945946301,0.021861306077257753,0.03195788950105678,0.06547294156452742,0.09503916195052318,0.0046149667153328215,0.014981645220754534,0.040478312604559794,0.06206369661255062,0.08048575695795424,0.09548508525418323,03/01/24 01:20:24,-0.049608397747406885,0.00023888474960396554,0.005114052991457328,-0.051319233353712336,0.00024075843315339842,0.005211348152992508,-2.129561931330844,0.00010412453526822129,0.007313813459891437,,683e385b4547269de0c671a699ee350db836d2fb1d114a5053954406dd397446
3,3,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,17,2.0,180,0,4,1,0,1e-08,15,1.0,0.051659946571470536,0.026744550288176887,0.018860738751874533,0.01348440039321171,0.00616961529796881,0.7269412951452996,0.9806598289322096,0.9991666666666668,1.0,1.0,1.0,0.004000040856656216,0.0453701109997179,0.07059843568027928,0.08875818195835392,0.10706683087812327,0.15080496446364064,0.054057985401399264,0.10884569784109828,0.12183275596730705,0.1355381918293389,0.14721148279670485,0.17694862662453345,1.0,0.024893314366998577,0.013767526925421662,0.006604348709611868,0.002692542166226377,0.0,0.7366388945336314,0.9918367346938776,1.0,1.0,1.0,0.0,0.0021402568609468083,0.02803342956405637,0.03963290837309807,0.05275007926727823,0.07003524105975682,0.0,0.01597800667111215,0.047430843907323474,0.056140906525595106,0.07041540177801678,0.0816509988641645,0.0,03/01/24 01:27:21,-0.005701707565333347,0.00022930366522568753,0.0043948807409384125,-0.0059551695913930836,0.00022911564123353963,0.004382726186122907,-0.014268883596026516,3.374602530921738e-05,0.0022631939012268763,,465cc1e539cada791ece7a90f8da39c47b9382b6ca9c996b7ad6905c14d8a19d
4,4,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,1,25,7.0,900,1,1,4,0,1e-07,25,1.0,0.05723197566451943,0.011824976359568033,0.0013908028060859356,0.0005199039794001048,2.5608506067946788e-05,0.5234668946111276,0.5496240689158695,0.5384323133141693,0.5182013685239492,0.3406107406107406,0.4,7.521436953228147e-05,0.001023532761524239,0.0020803972138292454,0.004878205575643626,0.0048351813742631535,0.03746771144852321,0.0003061652625708915,0.004096202117298442,0.008272961529870105,0.019370439677562287,0.029366562150138338,0.037566228183165164,1.0,0.011773754585256183,0.0018932670689859189,0.00023665838362323986,0.0,0.0,0.5163885930659093,0.5175879396984925,0.4375,0.5,0.0,0.0,-5.478162272070671e-05,0.0003346089560899831,-0.001385920834550372,0.0017919624112766042,0.0,0.0,0.00022633454519946838,-0.0004399443870810431,8.63133793917875e-05,0.003936083358016447,0.0,0.0,03/01/24 01:35:20,0.9979251618460824,0.000278478370345912,0.006672976626230677,0.9869113784375776,0.00027441771227604305,0.006166443282176431,0.9974517824140051,4.6140346292726796e-05,0.0031777316896123052,,c6624fe34f5ba5e669911f589ca8382c77035cccf5ce78190456afd777bbfba7
5,5,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,13,3.0,180,1,2,5,0,1e-11,40,1.0,0.06671526385446151,0.03352142815225807,0.022837508324117968,0.016316135346548345,0.0074556924334725355,0.7569924808329264,0.9785295680978031,0.9981758059764223,1.0,1.0,1.0,0.004459751824084497,0.0431940612510108,0.06868580634703653,0.08847915840965807,0.10705215754120297,0.15098349895887792,0.056643230630999,0.10721859548789706,0.12126795304526775,0.1353260657682401,0.14703535913939092,0.1769981390237997,1.0,0.031570017572562566,0.016663636914500395,0.007937950675634733,0.003272132339574623,0.0,0.7596194631279162,0.9904030710172744,1.0,1.0,1.0,0.0,0.002332694546642177,0.02675904514162008,0.038894117424678055,0.052316674186235534,0.06913341471095646,0.0,0.016551624058753735,0.04625504088746486,0.054965849050473116,0.06876913559996795,0.07918042888519555,0.0,03/01/24 04:08:50,-0.0006511030735703027,0.00027237574135186373,0.004620581283729242,-0.0006427962424425448,0.0002719149783055907,0.004611443155927672,-8.625115838389874e-05,3.875733753021592e-05,0.0023091397354744613,,ecbd8dd6b184f9731e70fe155f688ed1dd4e81b665f47502e2a578cb2441c0c9
6,6,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,9,0.3,7200,0,1,1,1,1e-10,25,1.0,0.059926216855355416,0.029562919261254594,0.020285981883230143,0.014448537106473962,0.006616936726154573,0.7441942223781115,0.9806799151800408,0.998656100024889,1.0,1.0,1.0,0.004207291927436526,0.042820773202052194,0.0691168287095981,0.08859558131744882,0.10713977104745034,0.15086995659093855,0.05368117620984854,0.1073374567785033,0.1212173867714593,0.13515761061367776,0.14684684589281188,0.17669671383216726,1.0,0.03334419463451722,0.016074725752145108,0.006951232757684371,0.0026610187900510483,0.0,0.6525469751276203,0.9788273615635179,1.0,1.0,1.0,0.0,0.0018836307616976165,0.02348828585607566,0.03739867137041141,0.052481841756716954,0.07105175104132164,0.0,0.011342044239622482,0.044461790324184534,0.053870198280117076,0.06897702057859173,0.08028622046947703,0.0,03/01/24 05:59:07,-0.001759567499687309,0.00024442882772900316,0.004439016290713294,-0.00249073311526411,0.000244347213529894,0.0044437032672314195,-0.1421327775171657,4.036050455923285e-05,0.003125657508233157,,12f684df0a43649e213ab46c63d19d5cce0b7fd326352a731aa0e831f0868e08
7,7,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,1,9,1.0,25200,1,4,3,1,1e-09,40,1.0,0.07390681824016962,0.014214184577394656,0.0024377428694795215,0.0011086604979175523,4.748178875704643e-05,0.5212837008820154,0.524546189052253,0.49824511395644844,0.56681644169339,0.4286713286713287,0.4,0.00014354907860801482,0.0005652186289186931,0.0008925396165541541,0.004727311352390246,0.0033494975411044224,0.03707549595588637,0.0004842363068340949,0.0019366235918637734,0.004025583028044366,0.00972487607943283,0.01165329759243296,0.037331302997999014,1.0,0.9995380147835269,0.9991420274551215,0.997624076029567,0.9074709609292503,0.2208949313621964,0.5256071805702217,0.5256520303730604,0.5258603606579034,0.5260650965863986,0.5319272727272727,0.5524350164326263,0.00011332564070005093,0.00011345194928939866,0.00011507243632803589,0.00011992777877862897,0.00013379661315910071,7.112944765203363e-06,0.00010230585501871187,0.00010071665709886057,9.838245259297298e-05,9.237975985980648e-05,6.765690369463623e-05,9.611713055644706e-05,03/01/24 08:01:16,0.9976293539805065,0.00031599482755154264,0.006937549240331647,0.9849288736304619,0.00031172801011988144,0.006648266549633934,0.6362613511127151,0.006594303918770914,0.07747597433736692,,eb461aadd4281364ac0c8cc02c3f52589d8bd27ec552329c9437cf8c924b66df
8,8,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,13,0.3,25200,0,4,0,2,1e-08,20,1.0,0.05931401916661165,0.028804321744552185,0.019596812124791488,0.014021879167721518,0.006385284655441993,0.740585233500093,0.9798797298951005,0.9986701653088375,1.0,1.0,1.0,0.004117943491442488,0.042205606542967504,0.06877132236680561,0.0886179446227433,0.10692641078946752,0.15089862206522625,0.05250797310005435,0.1071012992492757,0.12117896542450417,0.13524454667141744,0.1469010038026178,0.1768289522078107,1.0,0.39030920258281276,0.04682660507113234,0.009291826342590162,0.0030972754475300543,0.0,0.5324688960050397,0.5837256220578345,0.781390134529148,0.9548022598870056,1.0,0.0,0.0008942631464288768,0.0022824493497091143,0.013792713925828433,0.04264434830270276,0.0651432805607247,0.0,0.0035723675535403337,0.010797004447042503,0.036089334578295156,0.06245697561970687,0.07861941573552576,0.0,03/01/24 08:50:59,-0.001797490474912644,0.00023618542735380109,0.004372090469400674,-0.0025691096914066238,0.0002359499382520004,0.004355909685604577,-3.0155339132032184,0.00013761572553715475,0.009195720336186054,,5c142621ef16b87325aa6fd720f5683de063353628e3e121e80856b85e6fc085
9,9,multi_topic_steps_5_removal_1e+00parallel_run_7_3.csv,5,2,9,7.0,7200,0,4,3,1,1e-07,40,1.0,0.06681278857328601,0.03355632294632558,0.02287510751262898,0.01628752174017574,0.007436730687653263,0.7582925908701925,0.979089216082205,0.9979507969948797,1.0,1.0,1.0,0.004429096001365004,0.043229018534596146,0.06862009055351007,0.08840645690813863,0.10718104106389892,0.15110317966083547,0.056698623617756495,0.107145498028323,0.12116367972297341,0.1352457929866661,0.1469840150427803,0.17704747558826142,1.0,0.03175180270253893,0.016481851784524024,0.007937950675634733,0.003453917469550991,0.0,0.7494394958492395,0.9904580152671756,1.0,1.0,1.0,0.0,0.0022703935671947125,0.02661986350026094,0.03909897842864861,0.052302640476672,0.06818531175502453,0.0,0.016363692612410632,0.04631319909283512,0.055078481415620884,0.06877002823478451,0.07865806104410684,0.0,03/01/24 11:07:00,-0.0003338444873477009,0.00027229322706502114,0.004613299522145276,-0.0005034681533755859,0.00027183125354854874,0.00460594010434826,-0.0038518796006066225,3.8903270675861665e-05,0.0023444923024936786,,d24dca4ab90e85fefbc4b8e75f99a12f0f9ae841c843a8f801e41b1cdcc9d7ab
