Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,1,1,7.0,25200,0,4,3,3,1e-11,15,1.0,1.0,1.0,1.0,1.0,1.0,0.492238684991244,0.492238684991244,0.492238684991244,0.492238684991244,0.492238684991244,0.492238684991244,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,-4.621977786915528e-05,3.259285131760263e-05,3.457070475378189e-05,3.667122481144003e-05,4.008351981545905e-05,4.386336369398134e-05,6.037174678369917e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.5238227146814405,0.5238227146814405,0.5238227146814405,0.5238227146814405,0.5238227146814405,0.5238227146814405,9.537962050655461e-05,9.537962050655461e-05,9.537962050655461e-05,9.537962050655461e-05,9.537962050655461e-05,9.537962050655461e-05,6.882677583759233e-05,6.73226265692055e-05,6.563783196297369e-05,6.269369603530779e-05,5.910264252237387e-05,3.8140718416817285e-05,03/01/24 01:07:03,-0.8289536128689846,0.27723748132459924,0.48470391082060094,-13.307676899136661,0.26901262635822,0.475266214743173,-1.0450697258319468,0.03700060196548612,0.18653282436683152,,79f95fec48dbf628ca232af057de5d03b0febee9f8b0203be3e0ecb9d2067604
1,1,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,13.0,900,0,4,4,2,1e-10,15,1.0,0.06542261098981433,0.027982640941761856,0.01883792905615495,0.01352350700203674,0.006200556004349273,0.717936939924001,0.964206708101042,0.9971274951688501,1.0,1.0,1.0,0.0037874728913024113,0.03809642450873789,0.06813981845332309,0.08866129630935374,0.10687195628980768,0.15049535926751795,0.04975384494822747,0.10535989957273813,0.12111242749894276,0.1351539449481358,0.14675535726713157,0.17572666180557833,1.0,0.04455395244868929,0.0165616744564113,0.006858362121520016,0.003048160942897785,0.0,0.7220585246901037,0.9635119726339795,0.9846625766871165,1.0,1.0,0.0,0.0020739223933694427,0.01864066217570699,0.03476171671594851,0.050862413458572876,0.06633126642442382,0.0,0.01116780585467783,0.04041688177099429,0.05289149492021332,0.0670485355928802,0.07987068051443853,0.0,03/01/24 01:13:57,-0.01780556764058292,0.00023222236513993508,0.004627317113775269,-0.03226951507851887,0.00023221053958528138,0.0046891036960057505,-0.123860840151373,3.739229012066591e-05,0.002733104515887916,,be32851a5951cb4b87cc02f44a34792dc54b2c90e1850e400560af51d3ba65ee
2,2,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,0.3,25200,0,1,5,1,1e-09,15,1.0,0.0570422151781839,0.02763674009109109,0.018922762023585723,0.013468938524886087,0.006161954116316081,0.7381688789676615,0.9786710929960238,0.998642941081411,1.0,1.0,1.0,0.003990674795504967,0.042182685525143135,0.06907337459927534,0.08861112053150695,0.10713384932251388,0.15078096289562898,0.0517763028541645,0.10733257497474917,0.12143819731323628,0.13548880087039866,0.14721082438916364,0.17731545634410525,1.0,0.026366592156065842,0.013919934972566552,0.0065535460272302375,0.0027433448486080063,0.0,0.7496443812233285,0.9903660886319846,1.0,1.0,1.0,0.0,0.0021669537671633065,0.02708615203985533,0.03937900924703806,0.052889152893095766,0.06957572781179099,0.0,0.01553180453913622,0.046915358742759566,0.05579172580695568,0.07013060987810367,0.08152861883000287,0.0,03/01/24 01:20:58,-0.0024931469354097847,0.00022852435015549994,0.004287471474348579,-0.003088805489200075,0.00022868507878089957,0.004305439277256916,-0.002534436434816323,3.3355605217172454e-05,0.0021924970106738423,,120bdcdc6ddc839ccd9db9c5b6fb0a40e641fed9a91470acf587afbeaa8dd250
3,3,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,2.0,180,0,4,1,0,1e-08,15,1.0,0.04955624669049998,0.026511001918904698,0.0187447660218333,0.013438198263816582,0.00616174916005187,0.7242689943633615,0.9814251534597233,0.9988910742855465,1.0,1.0,1.0,0.003962447119310156,0.04661097105281209,0.07096280360048163,0.08904983580095913,0.10724295111262931,0.1508441375877941,0.054589305471389224,0.10926393811637836,0.12189992115807488,0.1355444672925322,0.14719991123755174,0.17677322883868934,1.0,0.02423287949603739,0.013767526925421662,0.006502743344848608,0.002692542166226377,0.0,0.7351148140621825,0.9916142557651991,1.0,1.0,1.0,0.0,0.0021148998399362164,0.028465969146102475,0.03960236538494602,0.05300955837773765,0.07003524105975682,0.0,0.01623282684531233,0.047602848174223764,0.05627067918939148,0.07055661258526058,0.08162499522648094,0.0,03/01/24 01:28:56,-0.007703797759483821,0.00022975000175461764,0.00443776395257327,-0.007668443508098433,0.00022947040109225886,0.0044086580500680315,-0.016848096150227754,3.3831839015562526e-05,0.002281213029203347,,f920d1db01796c03c2a11d9356f47671b5a6ca61958f3a29aa015b77a0543941
4,4,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,1,1,7.0,900,1,1,4,0,1e-07,25,1.0,0.047819234933792254,0.007382454491097231,0.0011194236378802855,0.00046939905366143273,1.7154348736078842e-05,0.5190977743475436,0.5440641993570271,0.5064021487170594,0.5593868964135444,0.35375,0.4,2.6621474164676942e-05,0.0010936391735417094,0.001976884124589429,0.003904222808322289,0.004093501393128163,0.037895373908103915,0.00036446621182578226,0.0031912448201613917,0.005628000563242281,0.014509603115245942,0.020790307080481966,0.037895373908103915,1.0,0.01627026387409774,0.0023074192403265887,0.0007691397467755295,5.9164595905809965e-05,0.0,0.48627381374985207,0.5490909090909091,0.46153846153846156,0.6153846153846154,1.0,0.0,-1.4260623267657158e-06,0.00025283078105985785,-0.001595900849595759,0.0012962337824083702,0.009587123862841107,0.0,6.4797078006366e-05,2.813467734935984e-05,0.0004682263050571403,0.00254370060426282,0.009587123862841107,0.0,03/01/24 01:38:05,0.9979176385412689,0.00027748936163672573,0.006431351990329096,0.9870356211519233,0.00026890203783330746,0.005852680538369557,0.9971394767548402,5.179523673153549e-05,0.003962718909648097,,6496406079747b4a3ad5c94ff87c9696ea45049ec576654f98449efe1a9d5443
5,5,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,3.0,180,1,2,5,0,1e-11,40,1.0,0.06660880114803922,0.033492578154656144,0.022846482828068393,0.01631576600607665,0.007474624836307321,0.752689621505689,0.9780913100685554,0.9981836942509809,1.0,1.0,1.0,0.004445637258726162,0.04327992983317806,0.06871049496490875,0.08847253113905018,0.10707270971851535,0.15087948926474862,0.05666221805823418,0.10725939225529417,0.12119779210105293,0.13525726702888635,0.14698790975422643,0.177024308171618,1.0,0.031570017572562566,0.016603041871174937,0.007937950675634733,0.003272132339574623,0.0,0.7605283887777979,0.9904030710172744,1.0,1.0,1.0,0.0,0.002371687083315148,0.02674914536875249,0.0389555769526491,0.05235504354520796,0.06917863703812308,0.0,0.016575290253886033,0.046345078511886316,0.05504398273912332,0.06883723343556945,0.07915521039330016,0.0,03/01/24 04:27:58,-0.0010622048600201328,0.00027248711485057905,0.004631242183632101,-0.0009229019603365973,0.00027195881379924976,0.0046242407873520654,-0.0010429955470039332,3.879441519742406e-05,0.0023152852586664384,,ea291aea8043ed227f8232147a18241903680e9b6ee29fc7da32cedec9d2b402
6,6,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,0.3,7200,0,1,1,1,1e-10,25,1.0,0.0595011052925315,0.029347841387633085,0.020277436704638187,0.014532252052898622,0.006633737908010469,0.7398918215806545,0.9806858156203229,0.998648935229187,1.0,1.0,1.0,0.0041867335231737315,0.042823104240149415,0.06948742549353012,0.088611553935778,0.106775783419174,0.15070273501101744,0.05381777169232471,0.10754562993824042,0.1213036648816261,0.13519255017344212,0.14688043443464627,0.17706495757867474,1.0,0.026990333441946346,0.014879982621918105,0.00700553926360378,0.0030954708374063213,5.430650591940915e-05,0.751004670359509,0.9919517102615694,1.0,1.0,1.0,1.0,0.0022542099428041005,0.027746237327809408,0.03917756015054581,0.05273042766427054,0.06822243021890612,0.09811475674152392,0.01641873054127853,0.046968332012456496,0.055628497072823795,0.0697079588380775,0.08044350877356742,0.09811475674152392,03/01/24 05:58:01,-0.0016190619225011638,0.0002443907514893586,0.004441628990851121,-0.001911638587315867,0.000244212359825245,0.004454116857501177,-0.00462120334965288,3.550114264843979e-05,0.0022686902853674964,,c377b7371378f2d7a1fbecfd9f00f0640c61b8487f98717baa63e87c78321857
7,7,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,1,1,1.0,25200,1,4,3,1,1e-09,40,1.0,0.07707790661756234,0.016347941986998033,0.0030507025398277764,0.0011377307002544852,0.0001416836633743513,0.5213382791214277,0.5260215238838113,0.4973209242927057,0.5417533943480647,0.3830572808833678,0.2571428571428571,0.00024257025005289425,0.0005994488665167334,0.0006501501749169236,0.003415702685684166,0.0011480793000385547,0.03507044250816903,0.0005476989147760135,0.0019744303216533672,0.0037891290955083166,0.008989241892926509,0.016404846769535644,0.03539476710004496,1.0,1.0,0.9999340021119324,0.9995380147835269,0.998746040126716,0.5353748680042238,0.5255411826821542,0.5255411826821542,0.5255758695795657,0.5256520303730604,0.5257384523888191,0.5396942800788954,0.00011206018084487122,0.00011206018084487122,0.00011270034875746349,0.00011315755097964091,0.0001140184118732942,9.527729572592414e-05,8.036192635692978e-05,7.719453916198809e-05,7.330643381169758e-05,6.542514412383673e-05,5.334801750891378e-05,-3.752529813802517e-05,03/01/24 08:12:22,0.9975523147028351,0.00032335187392263965,0.007146528892319265,0.9849277804016385,0.00031472379918673213,0.006673146770100421,0.27821846742378187,0.013085347964325743,0.11004270157352733,,0c67b16fd9e3ab5d366f2a6f4207e4268abfd1154442201cf693d5004269d5dd
8,8,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,0.3,25200,0,4,0,2,1e-08,20,1.0,0.05665042900339111,0.02834037337260508,0.019596322572714302,0.013997568498771637,0.00644981969617392,0.7372960006081406,0.9803879753116183,0.9986359010620453,1.0,1.0,1.0,0.004076603784222486,0.04344716464127654,0.06950531373504673,0.0885981101647922,0.10702327813566201,0.15043565392852762,0.05324242971491884,0.10777335243379678,0.12142281176116457,0.13530205478212104,0.1469818361094445,0.1772307402336462,1.0,0.02672056275919996,0.014383957163105674,0.006772009029345372,0.0027822982833744553,0.0,0.7318494409155336,0.9921414538310412,1.0,1.0,1.0,0.0,0.00220336303409071,0.027489138334984155,0.039438582270292816,0.053120495410965377,0.07037209194549185,0.0,0.01606851084116731,0.04733517774076017,0.056357789933441024,0.07088189978754365,0.08227936349513022,0.0,03/01/24 09:20:55,-0.00259295730399276,0.00023634924855585123,0.00437758069634403,-0.002630864612629491,0.00023609029252708496,0.004377763087823944,-0.010933931000926878,3.464555632997834e-05,0.00228308676853188,,1683f2b82c317cda464a19023463657a5e0ba7a775e1300a6c5dea252986c884
9,9,no_sentiment_steps_5_removal_1e+00parallel_run_7_5.csv,5,2,1,7.0,7200,0,4,3,1,1e-07,40,1.0,0.0670493342771197,0.03358666224306475,0.022828579183722497,0.016259661716579284,0.00748401583034404,0.7535426511841077,0.9782976123819799,0.9984227015503044,1.0,1.0,1.0,0.004384495347953083,0.04308748239116428,0.06859857188718073,0.08851498245479619,0.10726978634364277,0.15081657406988042,0.05660618373062902,0.10718856338229935,0.12125514209236225,0.13534917174951244,0.14706146696391723,0.1769866645296873,1.0,0.03132763739926074,0.016663636914500395,0.007937950675634733,0.003272132339574623,0.0,0.7586499424347088,0.9903288201160542,1.0,1.0,1.0,0.0,0.002288273112349518,0.02686057450973737,0.038894117424678055,0.05235504354520796,0.06917863703812308,0.0,0.01657678137106182,0.04627660135966036,0.055006981431549924,0.06880157959372023,0.07917739208460017,0.0,03/01/24 11:39:55,-0.0007147279117825089,0.00027238907938431184,0.004626536355026188,-0.0007777411697649228,0.00027197163611689915,0.004617736851872167,-0.0007029999421526156,3.878123900946952e-05,0.0023115827929689635,,f4145d44c841e643f58ae1b85ba3705dc82bc5f2ad511671ab54772a3eb7d133
