Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,model_hyper_params_batch_ratio,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,7.0,25200,0,4,3,3,1e-09,15,0.25,1.0,0.013472229320832262,0.0009200716564191642,0.00014184668986478774,6.294865891671349e-05,2.361790883054035e-05,0.5275474423041435,0.7029177548675052,0.6433298208640674,0.32222222222222224,0.42000000000000004,0.3,4.338013603542639e-06,0.006223905395087716,0.010964758151380876,-0.003910384619782266,0.01738884829893646,0.030744777945634127,0.000991221770078131,0.010994528229058298,0.017974131590657118,0.015616168306778155,0.029198647702064724,0.030081120917213332,1.0,1.0,1.0,0.9998904949627683,0.9990144546649146,0.5035041611914148,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447377067133939,0.5448317439438781,0.5593736407133536,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027800157254751265,0.00026164413176072695,6.190304901298919e-05,0.00022601853410075364,0.0002198270308135337,0.00021196335018800556,0.0001951555286923336,0.00016680133729422885,0.00022042464965268174,30/12/23 01:16:37,0.994744060101425,0.0007016886658748927,0.010207122920236324,0.9663257364279225,0.0007024592530314739,0.01012250981627654,0.4773525613263535,0.009454381254713092,0.09386633197158005,,c9f4405732d689bbc8f64a7f28fa13986e663bfc0410214d1ec337735e5834e6
1,1,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,13.0,900,0,4,4,2,1e-10,15,0.5,1.0,0.17206686252762665,0.08847062247203538,0.05796726220904016,0.04086090051249771,0.01894097682341513,0.7279335201446961,0.9653821010020284,0.9937495334091666,0.9997587454764776,1.0,1.0,0.00914762411237979,0.041319965086265974,0.06666150620245698,0.08786140805288775,0.10673232815943179,0.14900196617204514,0.06759709262595018,0.10572588195984267,0.12044305751378022,0.13494674222592687,0.14642558719610577,0.17472615494689436,1.0,0.9273593029735069,0.14872600172230382,0.030646877057899802,0.01317055873562636,0.0,0.5183121422420344,0.5473316217840171,0.9369891008174387,1.0,1.0,0.0,0.0020251653104961576,0.00259156939693404,0.016630713266147696,0.041437730107289746,0.05519835646205974,0.0,0.00600914682167049,0.011363978012687083,0.03665766920182793,0.053443742476895435,0.06597029902469873,0.0,30/12/23 02:47:43,-0.009776800825809095,0.0006943149930015628,0.010150490076250473,-0.010586096529840994,0.0006948513608760046,0.010164360031252784,-2.376645175029178,0.00034135434908348487,0.016748176730255478,,10502080c5226c3d9ac279fd3b4ec219c5064caf2c2684db48533c32510e1f86
2,2,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,0.3,25200,0,1,5,1,1e-11,15,1.0,1.0,0.1640882659382497,0.08856529244164854,0.05790883652274274,0.04069032958149425,0.01894818742928869,0.7484819691133173,0.969981650009952,0.9947752082547561,0.9995449374288965,1.0,1.0,0.00941181669034805,0.04376275725485616,0.06682065584009605,0.08774467162521989,0.10693917996885456,0.14938184545029726,0.07013081393476098,0.10602897442210824,0.12025993779478292,0.13469999262670265,0.1463675140148469,0.17557461727901053,1.0,0.9846005774783445,0.8102932982118434,0.04280431589078568,0.018084190263917735,0.0,0.511524238893673,0.5147913772701549,0.5990247561890473,0.991715976331361,1.0,0.0,0.0017652350393102042,0.001854631810141101,0.003152613135976512,0.03397159545144714,0.04869998645977847,0.0,0.004248929791399789,0.006053285786194034,0.015040981980210255,0.04519830045163135,0.0551364496909172,0.0,30/12/23 04:58:48,-0.0067461204688473945,0.0006923789920597586,0.009902793699187753,-0.006543775597526414,0.0006921045401244278,0.009897057071457717,-4.985150354752947,0.0006050553130729308,0.02339747215628177,,082720606508b22f508db6e6ac2fdc935fc87fbdc2aecc3d5bef040f9681802b
3,3,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,2.0,180,0,4,1,0,1e-09,15,0.25,1.0,0.15084378494005016,0.08469335407629197,0.05712388922921592,0.04045191964050564,0.018872032024528806,0.7293685638763682,0.9739665729864523,0.9968214412862613,0.9997560975609756,1.0,1.0,0.009371144221803488,0.04598775368488003,0.068573176130862,0.08848382953931773,0.10731806468258573,0.14929397367802205,0.07167592259019288,0.10783802663396125,0.12120263003612072,0.1349885943692916,0.14646181498535904,0.17481853173624096,1.0,0.4613241477128818,0.06088850615470341,0.02583455751988248,0.009624639076034648,0.0,0.5288485892305355,0.7721532886790381,0.9925124792013311,1.0,1.0,0.0,0.0022755499958091404,0.006991146451414485,0.03185703255105595,0.04641516790385017,0.06259679642405912,0.0,0.00872532007279748,0.02874686029382141,0.04841313947197817,0.06162083662721095,0.0751676758171957,0.0,30/12/23 06:36:31,-0.009563973155839723,0.0006944218119956161,0.010061840751465087,-0.011114341953158701,0.0006942811373716346,0.010073324601059048,-0.9391895392804432,0.00019603800477047714,0.01131085442673959,,10809775f57786ac40ff119bdf8a1e738d10f460e4ffed87d51e1c5c7248d6bd
4,4,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,7.0,900,1,1,4,0,1e-09,25,0.5,1.0,0.019257598903372253,0.001990094350444221,0.00031206980330200613,8.466357078143313e-05,8.528057308545113e-06,0.5279860029961544,0.7017648517674709,0.49829995579133507,0.4396103896103896,0.18333333333333332,0.2,0.0006701168870196264,0.008369515433360935,0.012370466607476446,0.00951961885617944,0.0012373923547262188,0.035388284960422164,0.0021416795602441385,0.014036395975127158,0.016250875236062823,0.01896789691886571,0.02959238072183713,0.035388284960422164,1.0,0.00690502662531453,0.0007607232722804143,5.85171747908011e-05,0.0,0.0,0.5090994206799696,0.788135593220339,0.6153846153846154,1.0,0.0,0.0,-9.544494882692641e-05,0.007585483223842659,0.001772478470249169,0.0063980805758274695,0.0,0.0,0.000123211692319845,0.0056395061542857715,0.0039162911717124885,0.0063980805758274695,0.0,0.0,30/12/23 09:31:05,0.9941741059565834,0.0007697613717933998,0.011618325264985421,0.9638028528402911,0.0007473021868502008,0.010690672416324149,0.9928909782684641,0.00012868522514588923,0.006235760673962967,,c4aec7caa3de4e9d343f48bcb4f64b19a1af2c8b737ceb34a37d3678da145708
5,5,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,3.0,180,1,2,5,0,1e-06,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,0.3,7200,0,1,1,1,1e-06,25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,1.0,25200,1,4,3,1,1e-08,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,0.3,25200,0,4,0,2,1e-10,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,7.0,7200,0,4,3,1,1e-07,40,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,5.0,180,1,4,4,2,1e-09,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,7.0,900,1,4,3,3,1e-06,8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,1.0,7200,0,2,4,3,1e-10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,0.3,180,1,4,1,0,1e-08,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,1.0,180,0,4,1,2,1e-10,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,3.0,25200,1,1,2,1,1e-11,40,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,7.0,7200,0,4,3,3,1e-11,20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,5.0,25200,0,4,8,3,1e-09,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,7.0,25200,1,4,2,0,1e-10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,7.0,180,1,1,2,2,1e-06,20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,0.7,25200,0,1,3,1,1e-11,15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,2.0,25200,0,4,1,3,1e-06,30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,13.0,7200,1,2,3,1,1e-10,8,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,1.0,900,0,1,0,3,1e-09,30,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,3.0,7200,1,1,1,1,1e-06,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,0.3,180,0,1,4,3,1e-06,20,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,13.0,7200,1,4,5,2,1e-06,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,3.0,900,1,1,2,0,1e-09,30,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,13.0,25200,0,2,2,2,1e-09,25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,1.0,900,1,1,5,3,1e-08,30,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,2.0,900,0,2,5,1,1e-10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,1.0,900,0,1,3,2,1e-10,40,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,1,1,5.0,25200,1,2,0,2,1e-11,40,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,0.7,180,0,2,3,3,1e-11,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,no_sentiment_steps_15_removal_1e+00parallel_run_3_2.csv,15,2,1,5.0,900,1,2,0,1,1e-08,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
